date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/25/2021,IZRL,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,12062085.78,12062085.78,7.54
1/25/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,323779.00,3917725.90,2.45
1/25/2021,IZRL,"STRATASYS LTD",SSYS,M85548101,88916.00,3556640.00,2.22
1/25/2021,IZRL,"NANO DIMENSION LTD - ADR",NNDM,63008G203,189200.00,3152072.00,1.97
1/25/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,26700.00,3139257.90,1.96
1/25/2021,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,568289.00,3097175.05,1.94
1/25/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,269602.00,2973710.06,1.86
1/25/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,214627.00,2957560.06,1.85
1/25/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,148041.00,2894201.55,1.81
1/25/2021,IZRL,"INMODE LTD",INMD,M5425M103,47498.00,2891203.26,1.81
1/25/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,94993.00,2845990.28,1.78
1/25/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,17424.00,2830877.28,1.77
1/25/2021,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,228055.00,2827882.00,1.77
1/25/2021,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,36574.00,2808883.20,1.76
1/25/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,126307.00,2793910.84,1.75
1/25/2021,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,11827.00,2786559.47,1.74
1/25/2021,IZRL,"NANO-X IMAGING LTD",NNOX,M70700105,41800.00,2772176.00,1.73
1/25/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,82084.00,2764589.12,1.73
1/25/2021,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,35231.00,2727936.33,1.71
