date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/26/2021,ARKQ,"TESLA INC",TSLA,88160R101,380410.00,335936266.90,11.24
1/26/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,2256014.00,153047989.76,5.12
1/26/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,1867874.00,130134781.58,4.35
1/26/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,523135.00,129894420.50,4.35
1/26/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,1334992.00,129454174.24,4.33
1/26/2021,ARKQ,"DEERE & CO",DE,244199105,420442.00,124455036.42,4.16
1/26/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,6946273.00,108292396.07,3.62
1/26/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,3647170.00,106351477.20,3.56
1/26/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,53760.00,103070822.40,3.45
1/26/2021,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,766446.00,97070385.90,3.25
1/26/2021,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,515278.00,86953162.50,2.91
1/26/2021,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,1257885.00,85951282.05,2.88
1/26/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1700525.00,82866583.25,2.77
1/26/2021,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1958456.00,82353074.80,2.76
1/26/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,386810.00,72414700.10,2.42
1/26/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,2575897.00,72150874.97,2.41
1/26/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,551433.00,69408871.71,2.32
1/26/2021,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,2106093.00,67774072.74,2.27
1/26/2021,ARKQ,"STRATASYS LTD",SSYS,M85548101,1544348.00,65464911.72,2.19
1/26/2021,ARKQ,"PROTO LABS INC",PRLB,743713109,280592.00,62852608.00,2.10
1/26/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,232968.00,61990455.12,2.07
1/26/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,1291713.00,61795549.92,2.07
1/26/2021,ARKQ,"TERADYNE INC",TER,880770102,432475.00,59724797.50,2.00
1/26/2021,ARKQ,"2U INC",TWOU,90214J101,1201373.00,51430778.13,1.72
1/26/2021,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,813863.00,44111374.60,1.48
1/26/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,578667.00,42699837.93,1.43
1/26/2021,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,109784.00,42121925.12,1.41
1/26/2021,ARKQ,"NVIDIA CORP",NVDA,67066G104,76087.00,40889914.67,1.37
1/26/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,118801.00,39286302.69,1.31
1/26/2021,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,406563.00,37550158.68,1.26
1/26/2021,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,46757.00,35986525.05,1.20
1/26/2021,ARKQ,"XILINX INC",XLNX,983919101,238801.00,34480476.39,1.15
1/26/2021,ARKQ,"ANSYS INC",ANSS,03662Q105,92837.00,34037757.68,1.14
