date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/26/2021,PRNT,"EXONE CO/THE",XONE,302104104,851831.00,24328293.36,7.72
1/26/2021,PRNT,"3D SYSTEMS CORP",DDD,88554D205,480219.00,17859344.61,5.66
1/26/2021,PRNT,"STRATASYS LTD",SSYS,M85548101,416073.00,17637334.47,5.59
1/26/2021,PRNT,"PROTO LABS INC",PRLB,743713109,71071.00,15919904.00,5.05
1/26/2021,PRNT,"DESKTOP METAL INC-A",DM,25058X105,536970.00,14133050.40,4.48
1/26/2021,PRNT,"MGI DIGITAL GRAPHIC TECHNOLO",ALMDG,B18FJV7,216902.00,13908372.96,4.41
1/26/2021,PRNT,"RENISHAW PLC",RSW,0732358,163690.00,13887090.24,4.40
1/26/2021,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,562445.00,13755559.95,4.36
1/26/2021,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,11446.00,13444610.44,4.26
1/26/2021,PRNT,"MICROSOFT CORP",MSFT,594918104,57300.00,13312509.00,4.22
1/26/2021,PRNT,"PTC INC",PTC,69370C100,100336.00,12995518.72,4.12
1/26/2021,PRNT,"DASSAULT SYSTEMES SE",DSY,5330047,62934.00,12994792.06,4.12
1/26/2021,PRNT,"HP INC",HPQ,40434L105,520910.00,12824804.20,4.07
1/26/2021,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,186779.00,12671087.36,4.02
1/26/2021,PRNT,"TRIMBLE INC",TRMB,896239100,177631.00,12375551.77,3.93
1/26/2021,PRNT,"ANSYS INC",ANSS,03662Q105,33459.00,12267407.76,3.89
1/26/2021,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,202459.00,11785138.39,3.74
1/26/2021,PRNT,"AUTODESK INC",ADSK,052769106,39286.00,11461690.50,3.64
1/26/2021,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,48175.00,3708029.75,1.18
1/26/2021,PRNT,"HEXAGON AB-B SHS",HEXAB,B1XFTL2,40256.00,3696234.27,1.17
1/26/2021,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,6586.00,3524168.60,1.12
1/26/2021,PRNT,"AMETEK INC",AME,031100100,29245.00,3313458.50,1.05
1/26/2021,PRNT,"SIEMENS AG-REG",SIE,5727973,17177.00,2730814.03,0.87
1/26/2021,PRNT,"ULTRA CLEAN HOLDINGS INC",UCTT,90385V107,64141.00,2593220.63,0.82
1/26/2021,PRNT,"MICHELIN (CGDE)",ML,4588364,19114.00,2585015.82,0.82
1/26/2021,PRNT,"BERTRANDT AG",BDT,5130861,47364.00,2527086.61,0.80
